timestep,western_temp,eastern_temp,dmi,phase
4680,26.71635,25.449041,1.2673092,Positive
4704,26.720362,25.419834,1.3005276,Positive
4728,26.724424,25.385908,1.3385162,Positive
4752,26.728617,25.34053,1.3880863,Positive
4776,26.723637,25.283482,1.440155,Positive
4800,26.727928,25.294548,1.4333801,Positive
4824,26.762184,25.317102,1.4450817,Positive
4848,26.794205,25.358612,1.4355927,Positive
4872,26.828173,25.322025,1.5061474,Positive
4896,26.796898,25.250465,1.5464325,Positive
4920,26.793373,25.192104,1.6012688,Positive
4944,26.80121,25.152807,1.6484032,Positive
4968,26.841858,25.124165,1.7176933,Positive
4992,26.850653,25.119644,1.7310085,Positive
5016,26.821692,25.102455,1.7192364,Positive
5040,26.826342,25.112286,1.714056,Positive
5064,26.831179,25.120275,1.7109032,Positive
5088,26.866806,25.103195,1.7636108,Positive
5112,26.889837,25.060854,1.8289833,Positive
5136,26.86956,25.064627,1.8049335,Positive
5160,26.818819,25.049253,1.7695656,Positive
5184,26.805983,25.030186,1.7757969,Positive
5208,26.80657,25.062918,1.7436523,Positive
5232,26.896992,25.109863,1.7871284,Positive
5256,26.983658,25.057983,1.9256744,Positive
5280,26.9979,24.997177,2.000723,Positive
5304,26.935753,24.952911,1.9828415,Positive
5328,26.889797,24.926474,1.9633236,Positive
5352,26.896244,24.91177,1.9844742,Positive
5376,26.971085,24.90674,2.0643444,Positive
5400,26.979868,24.89383,2.0860386,Positive
5424,26.96967,24.878767,2.0909023,Positive
5448,26.95072,24.883724,2.0669956,Positive
5472,26.937012,24.891335,2.0456772,Positive
5496,26.970474,24.904774,2.0657005,Positive
5520,27.026707,24.893475,2.133232,Positive
5544,27.073023,24.869991,2.2030315,Positive
5568,27.063223,24.865335,2.1978874,Positive
5592,27.040274,24.855509,2.1847649,Positive
5616,27.029646,24.830841,2.1988049,Positive
5640,27.036453,24.814636,2.221817,Positive
5664,27.10229,24.82114,2.281149,Positive
5688,27.15371,24.825274,2.328436,Positive
5712,27.203499,24.828232,2.375267,Positive
5736,27.239367,24.835226,2.4041405,Positive
5760,27.226986,24.847586,2.3794003,Positive
5784,27.150469,24.856638,2.2938309,Positive
5808,27.084877,24.854162,2.2307148,Positive
5832,27.126045,24.872374,2.2536716,Positive
5856,27.244926,24.89669,2.348236,Positive
5880,27.194742,24.87067,2.324072,Positive
5904,27.174578,24.863304,2.3112736,Positive
5928,27.210102,24.869823,2.3402786,Positive
5952,27.272848,24.910368,2.3624802,Positive
5976,27.380005,24.914577,2.4654274,Positive
6000,27.521475,24.848175,2.6732998,Positive
6024,27.69778,24.788975,2.9088058,Positive
6048,27.89184,24.767881,3.1239586,Positive
6072,27.959578,24.75718,3.2023983,Positive
6096,27.813059,24.736965,3.0760937,Positive
6120,27.704714,24.733702,2.971012,Positive
6144,27.715303,24.756212,2.9590912,Positive
6168,27.709784,24.879099,2.8306847,Positive
6192,27.79775,24.949076,2.8486748,Positive
6216,27.611174,24.983225,2.6279488,Positive
6240,27.605383,24.89657,2.7088127,Positive
6264,27.599777,24.84488,2.754898,Positive
6288,27.637363,24.854301,2.783062,Positive
6312,27.726507,24.926449,2.8000584,Positive
6336,27.771812,24.982489,2.7893238,Positive
6360,27.812843,24.973137,2.8397064,Positive
6384,27.942366,25.01976,2.9226055,Positive
6408,28.043924,25.129658,2.9142666,Positive
6432,27.936892,25.08796,2.8489323,Positive
6456,28.018972,24.986958,3.0320148,Positive
6480,28.27758,24.922293,3.3552876,Positive
6504,28.399338,24.898645,3.5006924,Positive
6528,28.44226,24.9076,3.5346603,Positive
6552,28.455217,24.921246,3.5339718,Positive
6576,28.456232,24.909403,3.5468292,Positive
6600,28.414318,24.90653,3.5077877,Positive
6624,28.49767,24.956696,3.5409737,Positive
6648,28.639025,25.0276,3.6114254,Positive
6672,28.798418,25.128843,3.6695747,Positive
6696,28.870668,25.17245,3.6982193,Positive
6720,28.909004,25.217077,3.691927,Positive
6744,29.037859,25.261456,3.7764034,Positive
6768,29.126318,25.379427,3.746891,Positive
6792,29.128698,25.46105,3.6676483,Positive
6816,29.136684,25.474813,3.661871,Positive
6840,29.235306,25.401886,3.8334198,Positive
6864,29.276392,25.454712,3.82168,Positive
6888,29.211136,25.598616,3.6125202,Positive
6912,29.107666,25.650093,3.457573,Positive
6936,28.862982,25.616598,3.2463837,Positive
6960,28.70396,25.60511,3.0988503,Positive
6984,28.718096,25.554222,3.1638737,Positive
7008,28.700853,25.47226,3.2285938,Positive
7032,28.772308,25.4527,3.3196087,Positive
7056,28.855165,25.448843,3.4063225,Positive
7080,29.019018,25.46878,3.5502377,Positive
7104,29.143642,25.495333,3.6483097,Positive
7128,29.213947,25.526724,3.6872234,Positive
7152,29.24407,25.539564,3.704506,Positive
7176,29.31004,25.54224,3.7677994,Positive
7200,29.25877,25.621016,3.6377544,Positive
7224,29.228407,25.664675,3.5637321,Positive
7248,29.062683,25.633947,3.4287357,Positive
7272,28.93386,25.622808,3.3110523,Positive
7296,28.745283,25.62381,3.1214733,Positive
7320,28.651403,25.631218,3.0201855,Positive
7344,28.48165,25.691462,2.7901878,Positive
7368,28.368538,25.739698,2.6288395,Positive
7392,28.271957,25.871248,2.4007092,Positive
7416,28.235115,26.010904,2.2242107,Positive
7440,28.2315,26.077988,2.153513,Positive
7464,28.205734,26.192112,2.0136223,Positive
7488,28.09471,26.236197,1.8585129,Positive
